"fylkenr_2018";"fylkenavn_2018";"fylkenr_2020";"fylkenavn_2020"
"01";"Østfold";"30";"Viken"
"02";"Akershus";"30";"Viken"
"03";"Oslo";"03";"Oslo"
"04";"Hedmark";"34";"Innlandet"
"05";"Oppland";"34";"Innlandet"
"06";"Buskerud";"30";"Viken"
"07";"Vestfold";"38";"Vestfold og Telemark"
"08";"Telemark";"38";"Vestfold og Telemark"
"09";"Aust-Agder";"42";"Agder"
"10";"Vest-Agder";"42";"Agder"
"11";"Rogaland";"11";"Rogaland"
"12";"Hordaland";"46";"Vestland"
"14";"Sogn og Fjordane";"46";"Vestland"
"15";"Møre og Romsdal";"15";"Møre og Romsdal"
"18";"Nordland";"18";"Nordland"
"19";"Troms Romsa";"54";"Troms og Finnmark ? Romsa ja Finnmárku ? Tromssa ja Finmarkku"
"20";"Finnmark Finnmárku";"54";"Troms og Finnmark ? Romsa ja Finnmárku ? Tromssa ja Finmarkku"
"50";"Trøndelag";"50";"Trøndelag - Trööndelage"
"99";"Uoppgitt";"99";"Uoppgitt"
